-0.03,-0.029,0.27,0.283,0.0,0.5
Label,1stMVP/HDBLVT04_INV_1#1,63,63,& Version 95707,0,0,1,0.001,0,0,0,0,0,,
Label,1stMVP/HDBLVT04_INV_1#1,63,63,& Metric 0.03048,0,0,1,0.001,0,0,0,0,0,,
Label,1stMVP/HDBLVT04_INV_1#1,63,63,& _Instance_tag HDBSLT04_INV_1,0,0,1,0.001,0,0,0,0,0,,
Label,1stMVP/HDBLVT04_INV_1#1,63,63,"& _Synopsys, Inc. Confidential",0,0,1,0.001,0,0,0,0,0,,
Poly,1stMVP/HDBLVT04_INV_1#1,685,1,No Data,0,0,4,0.081,0.045,0.099,0.045,0.099,0.065,0.081,0.065
Poly,1stMVP/HDBLVT04_INV_1#1,7,0,No Data,0,0,4,-0.002,0,0.002,0,0.002,0.254,-0.002,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,7,0,No Data,0,0,4,0.058,0,0.062,0,0.062,0.254,0.058,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,7,0,No Data,0,0,4,0.118,0,0.122,0,0.122,0.254,0.118,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,245,0,No Data,0,0,4,0.052,0.191,0.068,0.191,0.068,0.207,0.052,0.207
Poly,1stMVP/HDBLVT04_INV_1#1,685,3,No Data,0,0,4,0.021,0.003,0.039,0.003,0.039,0.029,0.021,0.029
Poly,1stMVP/HDBLVT04_INV_1#1,685,3,No Data,0,0,4,0.021,0.225,0.039,0.225,0.039,0.251,0.021,0.251
Poly,1stMVP/HDBLVT04_INV_1#1,12,183,No Data,0,0,4,0,0,0.12,0,0.12,0.127,0,0.127
Poly,1stMVP/HDBLVT04_INV_1#1,550,280,No Data,0,0,4,0,0,0.12,0,0.12,0.254,0,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,12,184,No Data,0,0,4,0,0.127,0.12,0.127,0.12,0.254,0,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,2,0,No Data,0,0,4,0,0.027,0.12,0.027,0.12,0.108,0,0.108
Poly,1stMVP/HDBLVT04_INV_1#1,2,0,No Data,0,0,4,0,0.146,0.12,0.146,0.12,0.227,0,0.227
Poly,1stMVP/HDBLVT04_INV_1#1,729,0,No Data,0,0,4,0.076,0.04,0.104,0.04,0.104,0.07,0.076,0.07
Poly,1stMVP/HDBLVT04_INV_1#1,729,0,No Data,0,0,4,0.016,-0.002,0.044,-0.002,0.044,0.074,0.016,0.074
Poly,1stMVP/HDBLVT04_INV_1#1,729,0,No Data,0,0,4,0.016,0.22,0.044,0.22,0.044,0.256,0.016,0.256
Poly,1stMVP/HDBLVT04_INV_1#1,247,0,No Data,0,0,4,-0.03,-0.0105,0.15,-0.0105,0.15,0.0105,-0.03,0.0105
Poly,1stMVP/HDBLVT04_INV_1#1,247,0,No Data,0,0,4,-0.03,0.2435,0.15,0.2435,0.15,0.2645,-0.03,0.2645
Poly,1stMVP/HDBLVT04_INV_1#1,686,0,No Data,0,0,4,0.053,0.192,0.067,0.192,0.067,0.206,0.053,0.206
Poly,1stMVP/HDBLVT04_INV_1#1,4,0,No Data,0,0,4,-0.03,0.127,0.15,0.127,0.15,0.254,-0.03,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,685,66,No Data,0,0,4,0.021,-0.029,0.039,-0.029,0.039,0.029,0.021,0.029
Poly,1stMVP/HDBLVT04_INV_1#1,685,66,No Data,0,0,4,0.021,0.225,0.039,0.225,0.039,0.283,0.021,0.283
Poly,1stMVP/HDBLVT04_INV_1#1,705,0,No Data,0,0,4,0.06,-0.003,0.12,-0.003,0.12,0.027,0.06,0.027
Poly,1stMVP/HDBLVT04_INV_1#1,705,0,No Data,0,0,4,0,0.105,0.06,0.105,0.06,0.149,0,0.149
Poly,1stMVP/HDBLVT04_INV_1#1,705,0,No Data,0,0,4,0.06,0.227,0.12,0.227,0.12,0.257,0.06,0.257
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.0095,0.12,0.0095,0.12,0.0175,0,0.0175
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.0365,0.12,0.0365,0.12,0.0445,0,0.0445
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.0635,0.12,0.0635,0.12,0.0715,0,0.0715
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.0905,0.12,0.0905,0.12,0.0985,0,0.0985
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.1285,0.12,0.1285,0.12,0.1365,0,0.1365
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.1555,0.12,0.1555,0.12,0.1635,0,0.1635
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.1825,0.12,0.1825,0.12,0.1905,0,0.1905
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.2095,0.12,0.2095,0.12,0.2175,0,0.2175
Poly,1stMVP/HDBLVT04_INV_1#1,2,42,No Data,0,0,4,0,0.2365,0.12,0.2365,0.12,0.2445,0,0.2445
Poly,1stMVP/HDBLVT04_INV_1#1,502,0,No Data,0,0,4,-0.002,0,0.002,0,0.002,0.254,-0.002,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,502,0,No Data,0,0,4,0.118,0,0.122,0,0.122,0.254,0.118,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,14,0,No Data,0,0,4,0.02,-0.018,0.04,-0.018,0.04,0.272,0.02,0.272
Poly,1stMVP/HDBLVT04_INV_1#1,14,0,No Data,0,0,4,0.08,-0.018,0.1,-0.018,0.1,0.272,0.08,0.272
Poly,1stMVP/HDBLVT04_INV_1#1,12,186,No Data,0,0,4,0,0.127,0.12,0.127,0.12,0.254,0,0.254
Poly,1stMVP/HDBLVT04_INV_1#1,12,185,No Data,0,0,4,0,0,0.12,0,0.12,0.127,0,0.127
Label,1stMVP/HDBLVT04_INV_1#0,15,20,X,0,0,1,0.02,0,0,0,0.2,0.055,,
Label,1stMVP/HDBLVT04_INV_1#0,15,20,A,0,0,1,0.02,0,0,0,0.16,0.199,,
Label,1stMVP/HDBLVT04_INV_1#0,15,20,VDD,0,0,1,0.02,0,0,0,0.15,0.254,,
Label,1stMVP/HDBLVT04_INV_1#0,15,20,VSS,0,0,1,0.02,0,0,0,0.15,0,,
Poly,1stMVP/HDBLVT04_INV_1#0,62,21,No Data,0,0,4,0.12,0,0.24,0,0.24,0.254,0.12,0.254
Poly,1stMVP/HDBLVT04_INV_1#0,15,0,No Data,0,0.04,4,0.12,-0.029,0.24,-0.029,0.24,0.029,0.12,0.029
Poly,1stMVP/HDBLVT04_INV_1#0,15,0,No Data,0,0.04,4,0.132,0.045,0.228,0.045,0.228,0.065,0.132,0.065
